longitude,latitude,nome,descricao,status,sentido
-47.248200,-15.566200,Balança DNIT Formosa,BR-020 km 12 — Formosa/GO,Operando,C
-54.378300,-15.577500,Balança DNIT Primavera Do Leste,BR-070 km 290.224 — Primavera Do Leste/MT,Operando,C
-37.235200,-10.958300,Balança DNIT São Cristovão,BR-101 km 104.1 — São Cristovão/SE,Operando,C
-35.245700,-6.044500,Balança DNIT São José Do Mipibu,BR-101 km 120.95 — São José Do Mipibu/RN,Operando,D
-35.838200,-9.426800,Balança DNIT Rio Largo,BR-101 km 77.3 — Rio Largo/AL,Operando,D
-44.473900,-3.363700,Balança DNIT Itapecuru-Mirim,BR-135 km 100.25 — Itapecuru-Mirim/RN,Operando,C
-44.300000,-2.687900,Balança DNIT São Luis,BR-135 km 14 — São Luis/MA,Operando,C
-50.239100,-24.242500,Balança DNIT Ventania,BR-153 km 160.8 — Ventania/PR,Operando,C
-48.512200,-8.814600,Balança DNIT Guarai,BR-153 km 332 — Guarai/TO,Operando,C
-51.219299,-26.314199,Balança DNIT Porto Vitoria,BR-153 km 473 — Porto Vitoria/PR,Operando,D
-57.734800,-16.019700,Balança DNIT Caceres,BR-174 km 75 — Caceres/MT,Operando,C
-60.019643,-2.967374,Balança DNIT Manaus,BR-174 km 884 — Manaus/AM,Operando,C
-51.126432,0.107653,Balança DNIT Macapa,BR-210 km 8 — Macapa/AP,Operando,D
-39.116300,-3.672000,Balança DNIT São Gonçalo Do Amarante,BR-222 km 60.3 — São Gonçalo Do Amarante/CE,Operando,C
-47.439980,-4.925590,Balança DNIT Acailandia,BR-222 km 672 — Acailandia/MA,Operando,C
-47.522821,-6.587792,Balança DNIT Mosquito,BR-226 km 8 — Mosquito/TO,Operando,D
-35.830700,-7.253800,Balança DNIT Massaranduba,BR-230 km 144 — Massaranduba/PB,Operando,C
-38.616500,-6.885700,Balança DNIT Cajazeiras,BR-230 km 511 — Cajazeiras/PB,Operando,C
-37.274200,-8.359300,Balança DNIT Sertania,BR-232 km 279 — Sertania/PE,Operando,C
-54.753800,-20.478000,Balança DNIT Campo Grande,BR-262 km 367.2 — Campo Grande/MS,Operando,D
-51.553898,-27.173948,Balança DNIT Joacaba,BR-282 km 391 — Joacaba/SC,Operando,D
-35.680900,-5.844400,Balança DNIT São Pedro,BR-304 km 259 — São Pedro/RN,Operando,C
-37.329500,-5.226000,Balança DNIT Mossoro,BR-304 km 47.2 — Mossoro/RN,Operando,C
-42.727300,-5.268000,Balança DNIT Teresina,BR-316 km 20 — Teresina/PI,Operando,C
-42.727300,-5.268000,Balança DNIT Teresina,BR-316 km 20 — Teresina/PI,Operando,D
-44.274500,-4.398800,Balança DNIT Peritoró,BR-316 km 431.6 — Peritoró/RN,Operando,C
-44.049100,-4.522700,Balança DNIT Codó,BR-316 km 460.72 — Codó/RN,Operando,D
-67.696497,-10.210424,Balança DNIT Senador Guiomard,BR-317 km 96 — Senador Guiomard/AC,Operando,D
-63.933942,-8.740214,Balança DNIT Porto Velho,BR-319 km 135 — Porto Velho/RO,Operando,C
-63.933942,-8.740214,Balança DNIT Porto Velho,BR-319 km 135 — Porto Velho/RO,Operando,C
-67.962721,-9.825055,Balança DNIT Bujari,BR-364 km 157 — Bujari/AC,Operando,C
-44.818900,-17.199900,Balança DNIT Várzea Da Palma,BR-365 km 139.71 — Várzea Da Palma/MG,Operando,C
-44.822100,-17.221500,Balança DNIT Várzea Da Palma,BR-365 km 142 — Várzea Da Palma/MG,Operando,D
-53.572600,-22.384400,Balança DNIT Ivinhema,BR-376 km 145.4 — Ivinhema/MS,Operando,C
-44.701698,-22.485100,Balança DNIT Volta Redonda,BR-393 km 1 — Volta Redonda/RJ,Operando,C
-45.163811,-22.620508,Balança DNIT Piquete,BR-459 km 16 — Piquete/SP,Operando,D
