longitude,latitude,tipo,valor,via
-47.318934,-0.646778,maxheight,6.5,
-47.318983,-0.647006,maxheight,6.5,
-46.773010,-1.062757,maxweight,0.01,Rua São Pedro
-46.773060,-1.063011,maxweight,0.01,Rua São Pedro
-46.940859,-1.080888,maxwidth,1.2,
-47.114950,-1.245765,maxwidth,4,
-48.441796,-1.326237,maxheight,8,
-48.441895,-1.326243,maxheight,8,
-48.245381,-1.340659,maxheight,5.5,
-48.453219,-1.354666,maxheight,5,Rua Netuno
-48.452799,-1.355136,maxheight,2.5,
-48.443960,-1.371241,maxheight,5.5,Avenida Augusto Montenegro
-48.444013,-1.371402,maxheight,5,Avenida Augusto Montenegro
-48.443128,-1.372510,maxheight,4.5,
-48.442870,-1.372962,maxheight,5.5,Avenida Augusto Montenegro
-48.442980,-1.373020,maxheight,5,Avenida Augusto Montenegro
-48.442714,-1.373084,maxheight,4.5,
-48.442099,-1.374458,maxheight,5,Avenida Augusto Montenegro
-48.422236,-1.379367,maxheight,4.5,Passagem Tapajós
-48.409951,-1.387512,maxheight,4,Rodovia BR-316
-48.414332,-1.390028,maxheight,5,Rodovia BR-316
-48.415473,-1.390979,maxheight,4,Rodovia BR-316
-48.435231,-1.406638,maxheight,5.5,Avenida Almirante Barroso
-48.435132,-1.406727,maxheight,5.5,Avenida Almirante Barroso
-48.473915,-1.422323,maxheight,3.5,Passagem Bom Jardim
-48.487552,-1.447586,maxheight,2,
-45.546674,-1.448617,maxweight,7000,MA-301
-54.735699,-1.947553,maxheight,5.5,Desvio da José Leite de Melo
-38.766217,-10.547765,maxheight,2,BA-220
-38.740425,-10.548614,maxheight,2,BA-220
-38.737764,-10.549604,maxheight,2,Avenida de Junco
-38.736135,-10.550780,maxheight,2,BA-220
-38.776198,-10.550899,maxheight,2,BA-220
-38.791353,-10.552669,maxheight,2,BA-220
-38.706111,-10.557204,maxheight,2,BA-220
-38.646640,-10.564924,maxheight,2,Estrada Para Pedra Furada
-38.614921,-10.579609,maxheight,2,Rua Ricardo Ferreira
-38.537517,-10.836189,maxheight,5,Avenida Oliveira Brito
-38.540963,-10.836312,maxheight,5,Avenida Oliveira Brito
-38.536378,-10.836341,maxheight,5,Avenida Evência Brito
-37.136407,-10.849619,maxheight,5.5,SE-090
-37.077233,-10.852127,maxheight,2.6,
-37.078296,-10.852133,maxheight,2.6,
-37.133170,-10.884303,maxheight,5.5,Rodovia Padre Pedro
-37.133611,-10.884348,maxheight,5.5,Rodovia Padre Pedro
-37.133181,-10.884367,maxheight,5.5,Rodovia Padre Pedro
-37.133088,-10.885864,maxheight,5.5,Rodovia Governador Mário Covas
-61.930613,-10.892486,maxheight,6,
-61.930687,-10.892677,maxheight,6,
-37.131778,-10.901289,maxheight,5.5,Rodovia Governador Mário Covas
-37.132333,-10.902002,maxheight,5.5,
-37.131442,-10.902268,maxheight,5.5,
-37.133150,-10.902440,maxheight,5.5,Rodovia Governador Mário Covas
-37.130966,-10.902497,maxheight,5.5,
-37.132096,-10.902818,maxheight,5.5,Avenida Chanceler Osvaldo Aranha
-37.131535,-10.903017,maxheight,5.5,Viaduto Sobre
-37.131625,-10.903028,maxheight,5.5,Viaduto Sobre
-37.131189,-10.903174,maxheight,5.5,Rodovia Governador Mário Covas
-37.130123,-10.903294,maxheight,5.5,Avenida Chanceler Osvaldo Aranha
-37.028312,-10.903296,maxheight,6,Rodovia José de Campos
-37.131587,-10.903585,maxheight,5.5,Rodovia Governador Mário Covas
-37.132362,-10.903697,maxheight,5.5,
-37.128933,-10.903716,maxheight,5.5,Avenida Chanceler Osvaldo Aranha
-37.024351,-10.909215,maxheight,3,Estacionamento para Moradores
-37.024946,-10.909221,maxheight,3,
-37.025265,-10.909814,maxheight,3,
-37.024635,-10.909883,maxheight,3,
-37.077201,-10.919868,maxwidth,2,
-37.082613,-10.933632,maxheight,5.5,Avenida Presidente Tancredo Neves
-37.080274,-10.939005,maxheight,5.5,Avenida Presidente Tancredo Neves
-37.076872,-10.939130,maxheight,5,Avenida Augusto Franco
-37.063785,-10.939570,maxheight,2.2,
-37.077520,-10.941885,maxheight,5,Avenida Augusto Franco
-37.077357,-10.942627,maxheight,5,Avenida Augusto Franco
-62.381517,-10.944458,maxweight,5,
-62.398352,-10.946613,maxweight,5,
-37.066669,-10.950945,maxheight,5.5,Avenida Iolanda Pinto de Jesus
-37.066828,-10.950947,maxheight,5.5,Avenida Iolanda Pinto de Jesus
-37.049137,-10.988707,maxheight,2.6,
-68.752239,-11.026661,maxheight,5,Avenida Internacional
-37.371661,-11.038517,maxheight,5.5,Rodovia Lourival Baptista
-37.364780,-11.042180,maxheight,5.5,Rodovia Governador Mário Covas
-37.366226,-11.042528,maxheight,5.5,Rodovia Lourival Baptista
-37.364846,-11.043633,maxheight,5.5,Rodovia Governador Mário Covas
-37.364947,-11.044396,maxheight,5.5,Rodovia Governador Mário Covas
-37.364895,-11.045093,maxheight,5.5,Rodovia Governador Mário Covas
-37.365037,-11.047301,maxheight,5.5,Rodovia Governador Mário Covas
-37.298284,-11.050956,maxweight,23,Rodovia Umberto Mandarino
-37.365026,-11.052849,maxheight,5.5,Rodovia Governador Mário Covas
-37.363849,-11.058190,maxheight,5.5,Rodovia Governador Mário Covas
-37.364611,-11.059192,maxheight,5.5,Rodovia Governador Mário Covas
-37.364227,-11.069203,maxheight,5.5,Rodovia Governador Mário Covas
-37.362578,-11.071256,maxheight,5.5,Rodovia Governador Mário Covas
-37.364168,-11.074876,maxheight,5.5,Rodovia Governador Mário Covas
-37.268498,-11.075782,maxweight,23,Rodovia Umberto Mandarino
-37.267971,-11.081739,maxweight,23,Rodovia Umberto Mandarino
-37.268525,-11.087686,maxweight,23,Rodovia Umberto Mandarino
-37.245405,-11.140096,maxweight,23,Rodovia Umberto Mandarino
-38.000901,-11.187129,maxweight,10,Avenida Getúlio Vargas
-38.002471,-11.190223,maxweight,10,Avenida Getúlio Vargas
-38.002859,-11.191045,maxweight,10,Avenida Getúlio Vargas
-38.003247,-11.191837,maxweight,10,Avenida Getúlio Vargas
-55.796409,-11.241157,maxheight,1.8,
-40.295143,-11.417801,maxheight,5,Rua Manoel Roque Rodrigues
-40.298571,-11.418100,maxheight,5,Rua Manoel Roque Rodrigues
-40.298853,-11.418126,maxheight,5,Rua Manoel Roque Rodrigues
